id,Name,Concepts,Elements,Astrological,Deities,imgAlt,imgCaption
50,Grasshopper,"Good fate, wealth, inovative, visionary, dynamic, leap of faith, & progressive","Air, Earth",,,by Elegance Nairobi on Unsplash,"<a href=""https://unsplash.com/@elegancenairobi?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Elegance Nairobi</a> on <a href=""https://unsplash.com/s/photos/grasshopper?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
51,Hawk,"Vision, alertness,nobility, cleansing, goal-oriented, strength, creativity, courage, swiftness, messenger of spirit world, focus, clear vision, & protection",Air,,,by Mathew Schwartz on Unsplash,"<a href=""https://unsplash.com/@cadop?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Mathew Schwartz</a> on <a href=""https://unsplash.com/s/photos/hawk?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
52,Hedgehog,"Protection, flexibility, patience, kindness, strength, challenges, curiosity, fortitude, adaptability, intuition, self-reliance, & self-dependent",Earth,,,by Mathew Schwartz on Unsplash,"<a href=""https://unsplash.com/@cadop?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Mathew Schwartz</a> on <a href=""https://unsplash.com/s/photos/hawk?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
53,Heron,"Independent, balance, calm, intrusive, multi-tasking, & self-determined","Earth, Water",,,by Zoltan Tasi on Unsplash,"<a href=""https://unsplash.com/es/@zoltantasi?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Zoltan Tasi</a> on <a href=""https://unsplash.com/s/photos/heron?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
54,Hippopotamus,"Strength, protection, wisdom, hard-working, fertile, hidden strength, perseverance, courage, honesty, creativity, calmness, intelligence, & balance","Earth, Water",,,by Tim De Pauw on Unsplash,"<a href=""https://unsplash.com/@tmdpw?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Tim De Pauw</a> on <a href=""https://unsplash.com/s/photos/hippo?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
55,Horse,"Freedom, adventurous, mobility, independence, friendship, & endurance",Earth,,Loki,by Silje Midtgard on Unsplash,"<a href=""https://unsplash.com/@siljemidt?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Silje Midtgard</a> on <a href=""https://unsplash.com/s/photos/horse?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
56,Hummingbird,"Flexibility, love, wisdom, hope, healing, ability, ecstacy, lightness of being, enjoyment of life, independence, resiliency, & aggression",Air,,,by Zdenek Machacek on Unsplash,"<a href=""https://unsplash.com/ja/@zmachacek?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Zdenek Machacek</a> on <a href=""https://unsplash.com/s/photos/hummingbird?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
57,Inchworm,"Logical, transformation, subtlety, concealment, & transmutation",Earth,,,by Patti Black on Unsplash,"<a href=""https://unsplash.com/@pattib?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Patti Black</a> on <a href=""https://unsplash.com/s/photos/inchworm?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
58,Jaguar,"Power, loyalty, speed, strength, grace, knowledge, fertility, Sun, Moon, maternal, & rejuvenation","Air, Earth","Sun, Moon",,by Prashant Saini on Unsplash,"<a href=""https://unsplash.com/@prashantsaini?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Prashant Saini</a> on <a href=""https://unsplash.com/s/photos/jaguar?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
59,Jellyfish,"Faith, transparency, illumination, acceptance, sensitivity, protection, intention, dangerous beauty",Water,,,by Ganapathy Kumar on Unsplash,"<a href=""https://unsplash.com/@gkumar2175?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ganapathy Kumar</a> on <a href=""https://unsplash.com/s/photos/jellyfish?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
60,Kiwi,"Alert, fidelity, authoritative, cultural, genius, & togetherness",Earth,,,by 11994227 fromPixabay,"<a href=""https://pixabay.com/users/11994227-11994227/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=4164829"">11994227</a> from <a href=""https://pixabay.com//?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=4164829"">Pixabay</a>"
61,Koala,"Gratitude, healing, calmness, trust, empathy, magic, protection, & pleasure",Earth,,,by Gary Runn on Unsplash,"<a href=""https://unsplash.com/ja/@garunn?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Gary Runn</a> on <a href=""https://unsplash.com/s/photos/koala?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
62,Ladybug,"Good luck, true love, innocence, metamorphasis, pious intervention, & illusion",Air,,,by Anton Atanasov on Unsplash,"<a href=""https://unsplash.com/@blooddrainer?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Anton Atanasov</a> on <a href=""https://unsplash.com/s/photos/ladybug?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
63,Lion,"Pride, courage, power, natural-born leaders, authority, dignity, wisdom, assertiveness, anger, aggression, & fiery",Earth,Leo,,by Ingo Stiller on Unsplash,"<a href=""https://unsplash.com/@ingo231177?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ingo Stiller</a> on <a href=""https://unsplash.com/s/photos/lion?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
64,Lizard,"Imagination, spirituality, sensitivity, adaptability, ego, intrusion, & quick-witted",Earth,,,by Joshua J. Cotten  on Unsplash,"<a href=""https://unsplash.com/@jcotten?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Joshua J. Cotten</a> on <a href=""https://unsplash.com/s/photos/lizard?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
65,Loon,"Patience, calm, conection, faithfulness, satisfaction, & refreshment",Air,,,by Jeremy Hynes on Unsplash,"<a href=""https://unsplash.com/@hyneseyes?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Jeremy Hynes</a> on <a href=""https://unsplash.com/s/photos/loon?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
66,Magpie,"Flexibility, communicative, fate, love, opportunity, attitude, & mimicry",Air,,,by Zdenek Machacek on Unsplash,"<a href=""https://unsplash.com/ja/@zmachacek?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Zdenek Machacek</a> on <a href=""https://unsplash.com/s/photos/magpie?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
67,Meadowlark,"Satisfaction, joy, wisdom, carousel, modesty, & manifestation",Air,,,by Jeffrey Hamilton on Unsplash,"<a href=""https://unsplash.com/@pistos?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Jeffrey Hamilton</a> on <a href=""https://unsplash.com/s/photos/meadowlark?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
68,Mockingbird,"Expression, thankfulness, defensive, lively, creativity, togetherness, & mimicry",Air,,,by Joshua J. Cotten on Unsplash,"<a href=""https://unsplash.com/@jcotten?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Joshua J. Cotten</a> on <a href=""https://unsplash.com/s/photos/mockingbird?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
69,Monkey,"Bold, confident, social, compassionate, playful, aggressive, creative, & rebellious","Air, Earth",,,by Jamie Haughton on Unsplash,"<a href=""https://unsplash.com/@haughters?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Jamie Haughton</a> on <a href=""https://unsplash.com/s/photos/monkey?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
