Name,Concepts,Elements,Astrological,Deities
Dragonfly,"Transformation, lively, flexibilty, connection, emotional, adaptability, joy, lightness of being, emotions, faeries, deceit, & illusion",Air,,
Eagle,"Goal-oriented, focused, resilient, vision, power, freedom, courage, determination, confidence, & loyalty",Air,,
Elephant,"Strength, loyalty, determination, confidence, honor, pride, dignity, royalty, power, wisdom, intuition, longevity, endurance, maternal, & rememberance",Earth,,
Elk,"Strength, self-reliant, cleverness, magnificent, generosity, & dignity",Earth,,
Emu,"Flexibility, unity, expressive, lively, equality, & transit",Earth,,
Falcon,"Goal-oriented, fearless, authoritative, freedom, intelligence, & victory",Air,,
Fish,"Rebirth, fertility, unconscious or higher self, luck, change, health, & feelings",Water,Pisces,
Flamingo,"Balance, goal-oriented, clear-sighted, love, power, balance, & happiness",Water,,
Fox,"Quick-witted, wisdom, luck, cleverness, curiosity, cunning, adaptability, awareness, noctural activities, dream work, & playfulness",Earth,,
Frog,"Transformation, sensitivity, peace, fertility, cleansing, rebirth, peace, cleansing, renewal, abundance, metamorphasis, & power","Earth, Water",,
Gazelle,"Alert, swift, consciousness, anticipation, refinement, & lightness",Earth,,
Giraffe,"Individuality, intelligence, peace, farsightedness, cleverness, gentleness, sincerity, kindness, softness, calm, awareness, & patience",Earth,,
Goat,"Firmness, self-reliant, isolated, vigor, alert, strength, & stubbornness",Earth,Capricorn,
Goldfinch,"Courageous, defensive, dedication, happiness, luck, & originality",Air,,
Goose,"Joy, bravery, guidance, fertility, loyalty, reliability, teamwork, vigilance, & wisdom / Evil, vicious, fucking bastards",Air,,
Grasshopper,"Good fate, wealth, inovative, visionary, dynamic, leap of faith, & progressive","Air, Earth",,
Hawk,"Vision, alertness,nobility, cleansing, goal-oriented, strength, creativity, courage, swiftness, messenger of spirit world, focus, clear vision, & protection",Air,,
Hedgehog,"Protection, flexibility, patience, kindness, strength, challenges, curiosity, fortitude, adaptability, intuition, self-reliance, & self-dependent",Earth,,
Heron,"Independent, balance, calm, intrusive, multi-tasking, & self-determined","Earth, Water",,
Hippopotamus,"Strength, protection, wisdom, hard-working, fertile, hidden strength, perseverance, courage, honesty, creativity, calmness, intelligence, & balance","Earth, Water",,
Horse,"Freedom, adventurous, mobility, independence, friendship, & endurance",Earth,,Loki
Hummingbird,"Flexibility, love, wisdom, hope, healing, ability, ecstacy, lightness of being, enjoyment of life, independence, resiliency, & aggression",Air,,
Inchworm,"Logical, transformation, subtlety, concealment, & transmutation",Earth,,
Jaguar,"Power, loyalty, speed, strength, grace, knowledge, fertility, Sun, Moon, maternal, & rejuvenation","Air, Earth","Sun, Moon",
Jellyfish,"Faith, transparency, illumination, acceptance, sensitivity, protection, intention, dangerous beauty",Water,,
Kiwi,"Alert, fidelity, authoritative, cultural, genius, & togetherness",Earth,,
Koala,"Gratitude, healing, calmness, trust, empathy, magic, protection, & pleasure",Earth,,
Ladybug,"Good luck, true love, innocence, metamorphasis, pious intervention, & illusion",Air,,
Lion,"Pride, courage, power, natural-born leaders, authority, dignity, wisdom, assertiveness, anger, aggression, & fiery",Earth,Leo,
Lizard,"Imagination, spirituality, sensitivity, adaptability, ego, intrusion, & quick-witted",Earth,,
Loon,"Patience, calm, conection, faithfulness, satisfaction, & refreshment",Air,,
Magpie,"Flexibility, communicative, fate, love, opportunity, attitude, & mimicry",Air,,
Meadowlark,"Satisfaction, joy, wisdom, carousel, modesty, & manifestation",Air,,
Mockingbird,"Expression, thankfulness, defensive, lively, creativity, togetherness, & mimicry",Air,,
Monkey,"Bold, confident, social, compassionate, playful, aggressive, creative, & rebellious","Air, Earth",,
Moose,"Endurance, intelligence, dignity, feminine, strength, & impulsive / FAAFO",Earth,,
Mosquito,"Persistence, feminine, agility, direction, detection, self-confidence, & blunt",Air,,
Mouse,"Stealth, modesty, understanding, dishonest, grounded, eye-for-details, & innocence",Earth,,
Opossum,"Wisdom, sensible, humble, togetherness, extraordinary, & decisive",Earth,,
Orangutan,"Creativity, gentle, solitude, ingenuity, honorable, & logical",Earth,,
Osprey,"Balance, visionary, potentiality, rigor, timing, & opportunity",Air,,
Otter,"Lively, cheerful, kindness, sensibility, dynamic, happiness, & playfulness",Water,,
Owl,"Wisdom, secret-keeper, freedom, comfort, stealth, vision, protection, deception, intuition, impending change, & the goddess Athena",Air,,Athena
Ox,"Sacrifice, monogamy, grounded, longevity, strength, & loyalty",Earth,Ox (Chinese),
Panda,"Adaptability, balance, determination, willpower, diplomacy, inner-sight, gentle strength, peace, good luck, & solitude",Earth,,
Panther,"Courage, valor, power, protective, aggressive, astral travel, guardian,death, rebirth, & feminine",Earth,,
Peacock,"Beauty, knowledge, self-esteem, foresight, endurance, royalty, love, sexuality, rebirth, & the goddess Hera","Air, Earth, Water",,Hera
Pellican,"Strong, selfless, warmth, responsible, defensive, & kindness","Earth, Water",,
Penguin,"Community-minded, grace, discipline, confidence, sacrifice, spiritual, & determination","Earth, Water",,
Porcupine,"Innocence, visionary, self-involved, humble, togetherness, anxious, & defensive",Earth,,
Rabbit,"Creativity, prosperity, intensity, love, cleverness, sensitivity, harmony, fear, & imagination",Earth,Rabbit (Chinese),
Raccoon,"Confidentiality, illusion, bravery, emphatic, versitility, protection, & ingenuity",Earth,,
Ram,"Aloof, sensitive, hard-working, anxious, visionary, transformation, & hard-headed",Earth,Aries,
Rat,"Kindness, fertility, foresight, intelligence, abundance, strength, success, & stealth",Earth,Rat (Chinese),
Raven,"Magical, fearless, adaptability, manipulative, wisdom, transformation, trickster, destiny, intelligence, flexibility, death, & the god Odin",Air,,"Odin, An Morrigna"
Reindeer,"Accomplishment, abundance, endurance, strength, faith, tenacity, & protection",Earth,,
Rhinoceros,"Intelligence, isolated, decisive, endurance, liberated, & insightful",Earth,,
Rooster,"Fearless, unique, intimacy, ego, nonconformity, & intrusive",Earth,,
Salmon,"Dignity, seriousness, intelligence, resurgence, spiritual, & firmness",Water,,
Scorpion,"Transformation, wilpower, determination, independence, solitude, aggression, protection, self-confidence, self-control, intelligence, success, ambition, & trickster",Earth,Scorpio,
Sheep,"Compassion, peace, purity, courage, progress, level-headed, conformity, & humble",Earth,,
Snake,"Impulsive, power, shrewdness, transformation, magic, fear, wisdom, & healing",Earth,,Loki
Spider,"Patience, creativity, protection, growth, aptitude, networking, balance, wisdom, receptivity, feminine, shadow self, & the god Loki","Air, Earth, Fire, Water",,Loki
Squirrel,"Playful, social, balance, passionate, trust, hardworking, & resourcefulness","Air, Earth",,
Stork,"Resurgence, creativity, responsibility, boldness, protective, & fertility","Air, Water",,
Swan,"Grave, purity, love, beauty, power, elegance, devotion, calmness, & balance","Air, Water",,
Tarantula,"Creativity, patience, self-protections, transformation, & intimidation",Earth,,
Tiger,"Valor, power, pride, devotion, fearlessness, vigor, passion, willpower, strength, courage, shadow self, aggression, unpredictability, & royalty",Earth,Tiger (Chinese),
Turkey,"Gratification, generosity, connection, togetherness, hard-working, abundance, community, sharing, harvest, satisfaction, & wealth","Air, Earth",,
Turtle,"Wisdom, patience, speed, endurance, fertility, longevity, protection, peace, Earth/the world, grounded, determination, persistence, & Turtle Island","Earth, Water",,
Unicorn,"Magic, love, fath, vision, innocence, purity, gentleness, & grace","Air, Earth, Fire, Water",,
Vulture,"Loyalty, patience, quick-witted, goal-oriented, trust, vision, & perception","Air, Earth",,
Wasp,"Aggressive, creative, fertility, intelligence, teamwork, enthusiasm, determination, & self-protection",Air,,
Whale,"Wisdom, power, strength, self-reliance, protection, bravery, healing, family, community, emotional rebirth,communication, & ancestry",Water,,
Wolf,"Protection, partnership, loyalty, compassion, spirituality, togetherness, intelligence, freedom, & power",Earth,,
Woodpecker,"Intelligence, healing, unique, connection, revelation, & perception",Air,,
